집계년도,시군명,관리기관명,단속일시정보,단속장소,단속방법,데이터기준일자
2023,경기도 오산시,오산시청,2023-12-01 15:58,피앤피프라자삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 15:59,원동아이러브안경,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 16:02,세마타워뒤,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 16:16,오산대역더샵후문,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 16:23,궐동우남퍼스트빌후문버스정류장,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 16:26,GS25오산대림점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 16:31,한신대GS25앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 16:32,한양수자인입구,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 16:33,운암4단지후문초심앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 16:37,피앤피프라자삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 16:40,세마역삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 16:44,중앙동세명프라자,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 16:49,세교6단지앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 16:53,GS25오산타운점맞은편,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 16:58,센트하임앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:00,궐동우남퍼스트빌후문버스정류장,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:06,궐동한성빌리지공영주차장,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:06,GS25오산대림점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:11,운암4단지후문초심앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:14,GS25오산대림점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:16,GS25오산대림점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:21,세교9단지후문상가도로,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:21,궐동608-2사거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:26,센트하임앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:27,오산동현대빌라,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:28,궐동한성빌리지공영주차장,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:31,(앱)궐동더블유하우스부근이중황색선/1분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:35,세마타워뒤,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:41,GS25오산대림점앞,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:41,(앱)궐동골드원아파트부근인도/1분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:42,세교9단지후문상가도로,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:42,(앱)세교동예반교회부근횡단보도/1분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:45,원동푸르지오정문,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:47,세마타워뒤,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:50,오산대역2번출입구,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:56,지곶동대림정문삼거리,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:59,세교9단지후문상가도로,고정형CCTV,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:59,앱)궐동웰빙타운부근인도/1분이상,안전신문고,2024-01-22
2023,경기도 오산시,오산시청,2023-12-01 17:59,앱)궐동웰빙타운부근횡단보도/1분이상,안전신문고,2024-01-22
